Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,TempMaximaMedia,TempMinimaMedia,UmidadeRelativaMedia,Latitude,Longitude,Bioma
82562,31/01/2016,0,36.0,,,95.4,7.741935000000002,,277.9,30.945161,23.696774,84.591667,-5.36,-49.13,Amazônia
82562,29/02/2016,0,36.0,,,224.6,5.183908,,88.5,34.032143,24.262069,75.12069,-5.36,-49.13,Amazônia
82562,31/03/2016,0,36.0,,,,7.301075,,367.8,32.693548,24.058065,83.282258,-5.36,-49.13,Amazônia
82562,30/04/2016,0,36.0,,,149.0,6.555556,,213.6,33.06,24.286667,81.175,-5.36,-49.13,Amazônia
82562,31/05/2016,0,36.0,,,,4.956989,,88.7,33.793548,24.258065,77.41129000000002,-5.36,-49.13,Amazônia
82562,30/06/2016,0,36.0,,,,3.322222,,22.7,34.28,23.49,71.108333,-5.36,-49.13,Amazônia
82562,31/07/2016,0,5.0,,,,2.473118,,4.8,35.674194,23.012903,62.48387099999999,-5.36,-49.13,Amazônia
82562,31/08/2016,0,18.0,,,,3.129032,,0.3,36.274194,23.870968,61.419355,-5.36,-49.13,Amazônia
82562,30/09/2016,0,36.0,,,,5.4,,100.3,34.94,23.863333,69.836207,-5.36,-49.13,Amazônia
82562,31/10/2016,0,36.0,,,179.9,6.139785,,187.4,33.854839,23.73871,73.35,-5.36,-49.13,Amazônia
82562,30/11/2016,0,36.0,,,127.8,7.102941,,183.1,33.175862,24.246429,79.035714,-5.36,-49.13,Amazônia
82562,31/12/2016,0,36.0,,,104.7,7.733516000000002,,119.0,32.225806,23.86,79.766129,-5.36,-49.13,Amazônia
82562,31/01/2017,0,36.0,,,130.4,7.892473,,285.3,31.458065,22.893548000000006,84.016129,-5.36,-49.13,Amazônia
82562,28/02/2017,0,36.0,,,84.8,8.190476,,579.2,30.525,22.857143,86.089286,-5.36,-49.13,Amazônia
82562,31/03/2017,0,36.0,,,149.0,7.419355,,334.7,31.970968,23.196774,83.491935,-5.36,-49.13,Amazônia
82562,30/04/2017,0,36.0,,,183.6,6.622222,,212.8,32.963333,23.706667000000003,81.18333299999998,-5.36,-49.13,Amazônia
82562,31/05/2017,0,36.0,,,226.4,5.129032,,107.9,34.029032,24.229032,76.451613,-5.36,-49.13,Amazônia
82562,30/06/2017,0,9.0,,,245.8,3.5333330000000003,,4.6,34.993333,23.353333,66.766667,-5.36,-49.13,Amazônia
82562,31/07/2017,0,9.0,,,305.6,2.387097,,7.8,,,,-5.36,-49.13,Amazônia
82562,31/08/2017,0,18.0,,,257.8,2.870968,,6.2,,,,-5.36,-49.13,Amazônia
82562,30/09/2017,0,5.0,,,211.2,4.266667,,13.0,,,,-5.36,-49.13,Amazônia
82562,31/10/2017,0,5.0,,,148.3,7.655914,,34.6,,,,-5.36,-49.13,Amazônia
82562,30/11/2017,0,36.0,,,135.1,7.333333,,378.1,,,,-5.36,-49.13,Amazônia
82562,31/12/2017,0,36.0,,,106.1,7.806452,,160.6,,,,-5.36,-49.13,Amazônia
82562,31/01/2018,0,36.0,,,152.8,7.193548,,115.1,,,,-5.36,-49.13,Amazônia
82562,28/02/2018,0,36.0,,,102.6,8.047619000000001,,459.4,,,,-5.36,-49.13,Amazônia
82562,31/03/2018,0,36.0,,,131.5,7.4838710000000015,,346.2,31.638462,23.842308,82.89814799999998,-5.36,-49.13,Amazônia
82562,30/04/2018,0,36.0,,,147.9,6.988889,,245.8,31.78,23.593333,82.75,-5.36,-49.13,Amazônia
82562,31/05/2018,0,36.0,,,214.8,4.924731,,77.4,33.512903,23.893333,77.341667,-5.36,-49.13,Amazônia
82562,30/06/2018,0,18.0,,,285.7,2.788889,,0.1,,,,-5.36,-49.13,Amazônia
82562,31/07/2018,0,5.0,,,312.5,3.11828,,0.0,,,,-5.36,-49.13,Amazônia
82562,31/08/2018,0,36.0,,,,3.083333,,21.0,,,,-5.36,-49.13,Amazônia
82562,30/09/2018,0,36.0,,,,4.810345,,34.5,,,,-5.36,-49.13,Amazônia
82562,31/10/2018,0,36.0,,,,5.181818,,44.9,,,,-5.36,-49.13,Amazônia
82562,30/11/2018,0,36.0,,,,6.533333,,187.1,,,,-5.36,-49.13,Amazônia
82562,31/12/2018,0,36.0,,,,6.3,,215.1,,,,-5.36,-49.13,Amazônia
82562,31/01/2019,0,36.0,,,,6.515152,,270.0,31.609091,22.836364,84.647727,-5.36,-49.13,Amazônia
82562,28/02/2019,0,36.0,,,,6.3333330000000005,,164.5,31.615,23.045,84.7,-5.36,-49.13,Amazônia
82562,31/03/2019,0,,,,,,,189.1,,,,-5.36,-49.13,Amazônia
82562,30/04/2019,0,36.0,,,,5.5322580000000015,,92.9,33.090476,23.552381,83.13095200000002,-5.36,-49.13,Amazônia
82562,31/05/2019,0,36.0,,,,4.8333330000000005,,101.2,33.495455,23.477273,80.5,-5.36,-49.13,Amazônia
82562,30/06/2019,0,18.0,,,,2.827586,,5.0,34.942105,22.868421,69.73684200000001,-5.36,-49.13,Amazônia
82562,31/07/2019,0,18.0,,,,3.176471,,25.5,35.121739,22.047826,67.032609,-5.36,-49.13,Amazônia
82562,31/08/2019,0,,,,,,,0.0,,,,-5.36,-49.13,Amazônia
82562,30/09/2019,0,36.0,,,,,,0.3,36.366667,22.666667,67.916667,-5.36,-49.13,Amazônia
