Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,TempMaximaMedia,TempMinimaMedia,UmidadeRelativaMedia,Latitude,Longitude,Bioma
82460,31/01/2016,0,5.0,0.996774,5.0,107.7,7.827957,,273.2,33.003226,23.741379,82.325,-4.21,-44.76,Cerrado
82460,29/02/2016,0,5.0,0.75977,4.8,191.7,6.517241,,203.6,33.389655,23.534483,79.8125,-4.21,-44.76,Cerrado
82460,31/03/2016,0,5.0,1.125806,4.0,146.1,7.774194,,254.3,33.574194,23.993548,85.177419,-4.21,-44.76,Cerrado
82460,30/04/2016,0,5.0,0.746667,3.3,207.0,7.144444,,247.9,34.406667,24.576667,82.666667,-4.21,-44.76,Cerrado
82460,31/05/2016,0,5.0,0.726437,3.0,189.3,5.643678,,49.4,33.987097,25.2,79.526786,-4.21,-44.76,Cerrado
82460,30/06/2016,0,5.0,0.794118,3.6,249.0,4.611765,,15.6,34.834483,23.246429,72.982759,-4.21,-44.76,Cerrado
82460,31/07/2016,0,5.0,1.1075270000000002,3.5,280.7,4.204301,,17.2,35.427586,23.622581,69.548387,-4.21,-44.76,Cerrado
82460,31/08/2016,0,5.0,1.305376,4.1,244.4,3.315217,,0.1,37.187097,24.006452,65.958333,-4.21,-44.76,Cerrado
82460,30/09/2016,0,36.0,1.7866669999999998,5.8,,4.866667,,54.0,37.8,24.9,66.4375,-4.21,-44.76,Cerrado
82460,31/10/2016,0,5.0,1.799598,4.11552,206.9,4.538043,,9.0,38.503226,24.662963,64.459677,-4.21,-44.76,Cerrado
82460,30/11/2016,0,,1.633573,4.62996,183.5,4.84375,,13.4,39.25,25.15,62.864583,-4.21,-44.76,Cerrado
82460,31/12/2016,0,,,,177.8,6.601124,,168.9,35.876667,24.59,70.783333,-4.21,-44.76,Cerrado
82460,31/01/2017,0,,,,167.0,7.462366,,408.4,32.961290000000005,23.790323,82.854839,-4.21,-44.76,Cerrado
82460,28/02/2017,0,,,,,8.066667,,406.9,31.675,23.87,83.7,-4.21,-44.76,Cerrado
82460,31/03/2017,0,,,,,7.797101,,345.5,31.430435,23.634783,85.5,-4.21,-44.76,Cerrado
82460,30/04/2017,0,,,,,6.967213,,196.4,32.555,23.875,82.9,-4.21,-44.76,Cerrado
82460,31/05/2017,0,,,,,6.176471,,139.1,33.604348,24.395455,81.771739,-4.21,-44.76,Cerrado
82460,30/06/2017,0,,,,,3.939394,,60.6,34.436364000000005,23.868182,73.897727,-4.21,-44.76,Cerrado
82460,31/07/2017,0,,,,,,,13.0,,,,-4.21,-44.76,Cerrado
82460,31/08/2017,0,,,,,,,0.0,36.078947,24.821053,69.22368399999999,-4.21,-44.76,Cerrado
82460,30/09/2017,0,,,,,4.234375,,0.2,38.061905,24.405263,62.880952,-4.21,-44.76,Cerrado
82460,31/10/2017,0,,,,,4.8769230000000015,,8.0,38.090909,24.804545,63.988636,-4.21,-44.76,Cerrado
82460,30/11/2017,0,,,,,8.057971,,27.5,35.913043,24.552174,66.684783,-4.21,-44.76,Cerrado
82460,31/12/2017,0,,,,,8.491802999999999,,126.9,35.07,24.33,70.55,-4.21,-44.76,Cerrado
82460,31/01/2018,0,,,,,8.661538,,148.0,33.290909,23.738095,73.102273,-4.21,-44.76,Cerrado
82460,28/02/2018,0,,,,,,,511.8,31.911111,,78.583333,-4.21,-44.76,Cerrado
82460,31/03/2018,0,,,,,,,38.7,,,,-4.21,-44.76,Cerrado
82460,30/04/2018,0,,,,,8.5,,429.5,30.914286,,79.345238,-4.21,-44.76,Cerrado
82460,31/05/2018,0,,,,,6.875,,74.3,33.133333,,75.916667,-4.21,-44.76,Cerrado
82460,30/06/2018,0,,,,,4.603175,,19.4,33.571428999999995,,74.488095,-4.21,-44.76,Cerrado
82460,31/07/2018,0,,,,,4.676923,,13.3,33.440909000000005,,74.329545,-4.21,-44.76,Cerrado
82460,31/08/2018,0,,,,,4.985507,,26.3,35.608696,,71.717391,-4.21,-44.76,Cerrado
82460,30/09/2018,0,,,,,4.978814,,8.8,37.394737,,70.605263,-4.21,-44.76,Cerrado
82460,31/10/2018,0,,,,,5.707692,,27.8,36.590909,,69.193182,-4.21,-44.76,Cerrado
82460,30/11/2018,0,,,,,6.166667,,94.3,35.865,,70.425,-4.21,-44.76,Cerrado
82460,31/12/2018,0,,,,,7.9,,140.9,32.157895,,77.475,-4.21,-44.76,Cerrado
82460,31/01/2019,0,,,,,7.712121000000002,,224.7,33.009091,,78.693182,-4.21,-44.76,Cerrado
82460,28/02/2019,0,,,,,8.683333,,279.6,32.55,,79.0625,-4.21,-44.76,Cerrado
82460,31/03/2019,0,,,,,,,70.4,,,,-4.21,-44.76,Cerrado
82460,30/04/2019,0,,,,,,,182.2,,,,-4.21,-44.76,Cerrado
82460,31/05/2019,0,5.0,,,,7.4307690000000015,,91.1,33.152381,,73.272727,-4.21,-44.76,Cerrado
82460,30/06/2019,0,5.0,,,,6.103448,,14.0,33.526315999999994,,72.631579,-4.21,-44.76,Cerrado
82460,31/07/2019,0,5.0,,,,5.794118,,19.0,33.056521999999994,,76.152174,-4.21,-44.76,Cerrado
82460,31/08/2019,0,5.0,,,,4.107692,,0.0,33.857143,,74.666667,-4.21,-44.76,Cerrado
82460,30/09/2019,0,5.0,,,,4.153226,,0.4,34.685714000000004,,73.238095,-4.21,-44.76,Cerrado
