Latitude  (graus) : -31.78
Longitude (graus) : -52.41
Estacao;Data;Hora;DirecaoVento;VelocidadeVentoMedia;VelocidadeVentoMaximaMedia;InsolacaoTotal;NebulosidadeMedia;NumDiasPrecipitacao;PrecipitacaoTotal;TempMinimaMedia;UmidadeRelativaMedia;
83985;31/01/2016;0000;5;3.024731;6.6;246.8;5.883721;;68;19.767742;;
83985;29/02/2016;0000;5;2.528736;7.5;273.2;5;;91.8;20.32069;;
83985;31/01/2017;0000;5;2.423656;6;249.6;5.866667;;130.2;19.683871;82.427419;
83985;28/02/2017;0000;5;2.253571;6.3;199.2;6.071429;;122.8;20.967857;85.473214;
83985;31/03/2017;0000;5;2.895699;7.5;236.4;4.946237;;98.6;17.354839;84.33871;
83985;30/04/2017;0000;5;2.845556;7.8;176.3;5.3;;66.1;15.45;81.808333;
83985;31/05/2017;0000;23;2.644086;10;98.2;7.1;;222.7;13.377419;90.056452;
83985;30/06/2017;0000;5;2.297778;8.1;167.2;5.602273;;97.7;10.606667;86.35;
83985;31/07/2017;0000;5;2.430108;7;200.2;4.430108;;26.3;10.2;83.927419;
83985;31/08/2017;0000;5;3.048387;8.3;207.6;5.107527;;199.9;10.877419;85.080645;
83985;30/09/2017;0000;5;3.194444;8;115.8;7.444444;;175.5;15.273333;87.566667;
83985;31/10/2017;0000;5;3.603226;8.3;183.2;6.311828;;180.3;14.058065;81.395161;
83985;30/11/2017;0000;5;3.145556;8.8;253.7;4.277778;;30.6;13.693333;75.05;
83985;31/12/2017;0000;5;3.603226;6.6;227.6;5.666667;;50.8;18.293548;79.354839;
83985;31/01/2018;0000;5;3.156989;6;265.5;4.989247;;209.7;19.535484;79.233871;
83985;28/02/2018;0000;5;3.088095;6.3;252.8;4.464286;;60.6;17.467857;80.392857;
83985;31/03/2018;0000;23;2.496774;7.1;235.8;4.516129;;93.5;15.877419;83.879032;
83985;30/04/2018;0000;5;2.175556;6.6;194.1;5.255556;;93.5;18.006667;86.425;
83985;31/05/2018;0000;23;2.544086;6.3;159;5.569892;;25;12.693548;86.419355;
83985;30/06/2018;0000;23;2.425556;8.8;146.4;5.644444;;100.4;7.633333;86.791667;
83985;31/07/2018;0000;23;2.749462;7.3;118.1;7.225806;;287.3;9.290323;88.346774;
83985;31/08/2018;0000;23;3.055914;8.3;154;5.956989;;84.1;9.051613;86.459677;
83985;30/09/2018;0000;5;3.466667;8.3;126.2;7.422222;;227.7;14.403333;87.616667;
83985;31/10/2018;0000;5;3.243011;6.6;232.5;4.946237;;117.3;13.929032;80.830645;
83985;30/11/2018;0000;5;3.682222;10;253.4;4.577778;;52.9;16.736667;77.683333;
83985;31/12/2018;0000;5;3.527957;7;246.6;4.913978;;44.7;17.793548;76.612903;
83985;31/01/2019;0000;5;2.974194;6.6;164.7;6.83871;;266;21.016129;84.516129;
83985;28/02/2019;0000;23;2.592857;11.3;205.2;5.142857;;75.7;19.039286;81.982143;
83985;31/03/2019;0000;5;2.832258;7.1;203.7;5.053763;;24.5;16.964516;82.177419;
83985;30/04/2019;0000;23;2.41;7.5;165.1;5.822222;;85.6;15.703333;87.325;
83985;31/05/2019;0000;23;2.363441;6.6;126.1;6.451613;;87.9;13.941935;90.532258;
83985;30/06/2019;0000;5;2.191111;6.5;160.1;5.177778;;39.2;11.85;87.2;
83985;31/07/2019;0000;23;2.607527;9.6;179.7;4.989247;;130.8;7.580645;87.25;
83985;31/08/2019;0000;23;2.933333;8.1;182.3;5.096774;;103;8.509677;86.08871;
83985;30/09/2019;0000;5;2.815556;6.8;205.9;4.555556;;147.8;10.43;82.966667;
