Estacao,Data,Hora,DirecaoVento,VelocidadeVentoMedia,VelocidadeVentoMaximaMedia,InsolacaoTotal,NebulosidadeMedia,NumDiasPrecipitacao,PrecipitacaoTotal,TempMinimaMedia,UmidadeRelativaMedia,Unnamed: 13,Latitude,Longitude
82992,31/01/2016,0,9.0,3.2516130000000003,7.5,180.6,7.2258059999999995,,74.9,22.393548000000003,72.016129,,"-9.44
","-36.7
"
82992,29/02/2016,0,9.0,2.510345,5.0,249.2,6.735632000000001,,6.4,22.031034,69.83035699999999,,"-9.44
","-36.7
"
82992,31/03/2016,0,9.0,2.2430630000000003,4.62996,244.2,5.705645,,26.5,22.667742,78.032258,,"-9.44
","-36.7
"
82992,30/04/2016,0,18.0,2.028859,6.17328,190.2,6.657303,,61.0,22.124138000000002,79.633333,,"-9.44
","-36.7
"
82992,31/05/2016,0,18.0,1.5211940000000002,3.6010800000000005,186.4,6.787634,,80.3,21.154839000000003,83.266129,,"-9.44
","-36.7
"
82992,30/06/2016,0,18.0,1.566441,4.62996,200.1,6.263889,,57.4,20.353333,80.375,,"-9.44
","-36.7
"
82992,31/07/2016,0,14.0,1.63838,5.1444,192.4,6.508152,,61.6,18.845160999999997,79.064516,,"-9.44
","-36.7
"
82992,31/08/2016,0,14.0,2.02457,4.62996,219.8,6.048387,,16.5,18.729032,71.951613,,"-9.44
","-36.7
"
82992,30/09/2016,0,9.0,1.92915,4.62996,258.8,5.8958330000000005,,12.8,19.827586,76.766667,,"-9.44
","-36.7
"
82992,31/10/2016,0,9.0,2.79587,5.6588400000000005,301.5,5.026882,,15.4,21.112903,64.91935500000001,,"-9.44
","-36.7
"
82992,30/11/2016,0,9.0,2.892296,5.1444,278.5,5.5416669999999995,,12.1,21.55,63.625,,"-9.44
","-36.7
"
82992,31/12/2016,0,9.0,2.753767,4.62996,291.3,4.393382,,3.4,21.906451999999998,65.854839,,"-9.44
","-36.7
"
82992,31/01/2017,0,14.0,2.703226,4.5,281.2,5.612903,,1.6,22.070968,67.645161,,"-9.44
","-36.7
"
82992,28/02/2017,0,14.0,2.425,4.0,221.6,5.160714,,2.2,21.907142999999998,67.14285699999999,,"-9.44
","-36.7
"
82992,31/03/2017,0,14.0,1.916667,3.8,200.5,5.2708330000000005,,1.0,22.866667,68.375,,"-9.44
","-36.7
"
82992,30/04/2017,0,9.0,1.51,3.5,208.9,6.716667,,118.8,22.24,78.733333,,"-9.44
","-36.7
"
82992,31/05/2017,0,14.0,0.880392,3.0,116.2,7.3333330000000005,,321.2,20.446154,87.090909,,"-9.44
","-36.7
"
82992,30/06/2017,0,9.0,0.693333,1.6,121.3,8.333333,,187.0,18.843332999999998,90.333333,,"-9.44
","-36.7
"
82992,31/07/2017,0,18.0,0.885484,3.0,92.6,8.741935,,270.8,17.33871,90.967742,,"-9.44
","-36.7
"
82992,31/08/2017,0,9.0,1.051613,2.8,157.4,7.580645,,129.4,18.293548,89.548387,,"-9.44
","-36.7
"
82992,30/09/2017,0,14.0,1.346667,3.0,199.9,7.3333330000000005,,112.6,18.82,87.5,,"-9.44
","-36.7
"
82992,31/10/2017,0,9.0,1.9629029999999998,3.8,242.4,6.2258059999999995,,36.2,19.941935,82.16129000000001,,"-9.44
","-36.7
"
82992,30/11/2017,0,9.0,2.825,4.5,296.9,4.65,,0.4,21.02,71.166667,,"-9.44
","-36.7
"
82992,31/12/2017,0,,,,,,,0.0,,,,"-9.44
","-36.7
"
82992,31/01/2018,0,9.0,2.2229509999999997,4.5,243.4,5.6229510000000005,,26.3,21.590323,74.290323,,"-9.44
","-36.7
"
82992,28/02/2018,0,9.0,2.135714,4.2,215.1,5.732143,,86.8,21.860714,79.82142900000001,,"-9.44
","-36.7
"
82992,31/03/2018,0,9.0,1.783871,3.8,244.3,5.16129,,12.2,22.4,76.483871,,"-9.44
","-36.7
"
82992,30/04/2018,0,9.0,1.1,3.5,157.9,7.1666669999999995,,98.8,21.586667000000002,85.13793100000001,,"-9.44
","-36.7
"
82992,31/05/2018,0,18.0,1.309677,3.8,190.3,7.139785000000001,,97.9,20.961289999999998,82.201613,,"-9.44
","-36.7
"
82992,30/06/2018,0,18.0,1.333333,3.8,179.7,6.855556,,67.3,19.843332999999998,82.69166700000001,,"-9.44
","-36.7
"
82992,31/07/2018,0,18.0,1.183871,3.2,171.7,7.403225999999999,,68.7,19.380645,82.3,,"-9.44
","-36.7
"
82992,31/08/2018,0,14.0,1.936559,3.9,247.3,5.903226,,9.0,19.712903,73.645161,,"-9.44
","-36.7
"
82992,30/09/2018,0,14.0,2.178889,4.8,223.2,6.511111,,43.5,20.461538,75.333333,,"-9.44
","-36.7
"
82992,31/10/2018,0,14.0,1.9494619999999998,5.9,294.3,5.752688,,0.0,22.125806,69.427419,,"-9.44
","-36.7
"
82992,30/11/2018,0,14.0,2.117778,4.0,241.0,6.466667,,6.0,22.73,68.55833299999999,,"-9.44
","-36.7
"
82992,31/12/2018,0,14.0,2.013978,4.0,260.9,6.365591,,56.8,22.6,68.903226,,"-9.44
","-36.7
"
82992,31/01/2019,0,14.0,1.922581,3.8,212.9,6.451613,,32.3,22.509677,75.483871,,"-9.44
","-36.7
"
82992,28/02/2019,0,14.0,0.952892,2.0,232.0,6.667683,,11.4,23.762963,70.526786,,"-9.44
","-36.7
"
82992,31/03/2019,0,14.0,0.932776,3.08664,229.0,7.046703,,90.2,23.653333,75.216667,,"-9.44
","-36.7
"
82992,30/04/2019,0,14.0,0.8785940000000001,2.05776,207.8,6.994382000000001,,80.0,22.97,76.11206899999999,,"-9.44
","-36.7
"
82992,31/05/2019,0,14.0,0.8684629999999999,1.54332,213.7,6.586022,,35.2,22.23871,75.80645200000001,,"-9.44
","-36.7
"
82992,30/06/2019,0,14.0,0.819515,5.1444,134.6,7.718023,,182.6,22.143333,81.75,,"-9.44
","-36.7
"
82992,31/07/2019,0,14.0,0.746442,5.1444,113.9,7.52451,,152.6,22.237037,84.875,,"-9.44
","-36.7
"
82992,31/08/2019,0,14.0,0.840252,4.11552,175.2,7.736111,,101.4,,79.948276,,"-9.44
","-36.7
"
82992,30/09/2019,0,9.0,0.9710780000000001,3.08664,219.5,6.460674,,22.6,,73.663793,,"-9.44
","-36.7
"
