,latitude,longitude,bioma,area(m²),diasemchuva,precipitacao,riscofogo
0,-28.385,-55.58,Pampa,23898074.65332951,0.0,0.07026239067055394,0.155
1,-28.43,-54.986667000000004,Pampa,19542922.910133947,0.0,0.07026239067055394,0.155
2,-28.455,-53.225,Pampa,3256450.3059446174,0.0,0.07026239067055394,0.155
3,-28.48,-53.21,Pampa,1085248.7314741462,0.0,0.07026239067055394,0.155
4,-28.54,-55.702,Pampa,18439558.84194063,0.0,0.07026239067055394,0.155
5,-28.535,-55.71,Pampa,2169389.5560258497,0.0,0.07026239067055394,0.155
6,-28.59,-55.66,Pampa,1084139.8358127978,0.0,0.07026239067055394,0.155
7,-28.601471000000004,-55.675588,Pampa,18428861.684377857,0.0,0.07026239067055394,0.155
8,-28.63,-55.645,Pampa,2167471.225051839,0.0,0.07026239067055394,0.155
9,-29.066429,-53.285,Pampa,3237865.7948823264,0.0,0.07026239067055394,0.155
10,-29.425,-53.985,Pampa,3226829.5881032464,0.0,0.07026239067055394,0.155
11,-29.5,-56.17,Pampa,1074813.6695314369,0.0,0.07026239067055394,0.155
12,-29.51,-56.18,Pampa,1074709.676017643,0.0,0.07026239067055394,0.155
13,-29.62,-56.375,Pampa,2147127.1787491944,0.0,0.07026239067055394,0.155
14,-29.633571000000003,-55.993570999999996,Pampa,9660506.223262057,0.0,0.07026239067055394,0.155
15,-29.644000000000002,-56.361000000000004,Pampa,19319654.581607737,0.0,0.07026239067055394,0.155
16,-29.835,-51.555,Pampa,4285248.375714377,0.0,0.07026239067055394,0.155
17,-29.873333000000002,-56.0275,Pampa,13920906.109437345,0.0,0.07026239067055394,0.155
18,-29.88,-56.02,Pampa,1070838.9465458635,0.0,0.07026239067055394,0.155
19,-29.941667,-56.305,Pampa,4280722.740822389,0.0,0.07026239067055394,0.155
20,-29.939,-56.28100000000001,Pampa,10702386.472787557,0.0,0.07026239067055394,0.155
21,-29.94,-55.995,Pampa,2140414.1017202144,0.0,0.07026239067055394,0.155
22,-29.95,-56.01,Pampa,1070101.620828515,0.0,0.07026239067055394,0.155
23,-29.948635999999997,-55.960455,Pampa,9630703.597058607,0.0,0.07026239067055394,0.155
24,-29.983182,-53.281364,Pampa,22466226.01290378,0.0,0.07026239067055394,0.155
25,-29.99,-55.395,Pampa,2139359.149710373,0.0,0.07026239067055394,0.155
26,-30.01,-52.95,Pampa,1069468.3564002158,0.0,0.07026239067055394,0.155
27,-30.028333,-52.965,Pampa,4277133.6886813035,0.0,0.07026239067055394,0.155
28,-30.03,-52.95,Pampa,1069257.0076498343,0.0,0.07026239067055394,0.155
29,-30.05,-52.935,Pampa,2138091.05726942,0.0,0.07026239067055394,0.155
30,-30.06,-53.335,Pampa,2137879.48057162,0.0,0.07026239067055394,0.155
31,-30.11,-50.785,Pampa,2136820.6204354847,0.0,0.07026239067055394,0.155
32,-30.168158000000002,-54.633947,Pampa,28832654.90164585,0.0,0.07026239067055394,0.155
33,-30.26,-51.925,Pampa,2133634.2792774253,0.0,0.07026239067055394,0.155
34,-30.5225,-52.74,Pampa,6384229.8824702725,0.0,0.07026239067055394,0.155
35,-30.55,-52.75,Pampa,1063716.280289499,0.0,0.07026239067055394,0.155
36,-30.56,-52.76,Pampa,1063608.8673431792,0.0,0.07026239067055394,0.155
37,-30.6175,-52.735,Pampa,6378212.683253421,0.0,0.07026239067055394,0.155
38,-30.655,-52.7,Pampa,2125173.647333853,0.0,0.07026239067055394,0.155
39,-30.73,-51.45,Pampa,1061777.8889547037,0.0,0.07026239067055394,0.155
40,-30.7525,-51.445,Pampa,12737553.54068022,0.0,0.07026239067055394,0.155
41,-30.74,-51.43,Pampa,1061669.8928301258,0.0,0.07026239067055394,0.155
42,-30.75,-52.985,Pampa,2123123.7286763075,0.0,0.07026239067055394,0.155
43,-30.77,-53.005,Pampa,2122691.420477766,0.0,0.07026239067055394,0.155
44,-30.78,-54.305,Pampa,2122475.169285075,0.0,0.07026239067055394,0.155
45,-30.815,-52.559,Pampa,8487087.502440957,0.0,0.07026239067055394,0.155
46,-30.956428999999996,-53.185,Pampa,3177966.085938408,0.0,0.07026239067055394,0.155
47,-31.14,-50.925,Pampa,2114647.0638037245,0.0,0.07026239067055394,0.155
48,-31.575,-52.94,Pampa,2105076.5519636455,0.0,0.07026239067055394,0.155
